City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2022-08-16 17:12:34,-34.4187,19.2345,53.8,76,64,15.66
68,Mar Del Plata,AR,2022-08-16 17:12:34,-38.0023,-57.5575,60.1,48,20,24.16
69,Ashland,US,2022-08-16 17:12:05,40.8167,-82.2665,73.17,80,34,11.23
70,Torbay,CA,2022-08-16 17:12:35,47.6666,-52.7314,65.26,86,100,10.0
71,Tsumeb,NA,2022-08-16 17:12:35,-19.2333,17.7167,73.27,8,0,3.49
72,Barrow,US,2022-08-16 17:12:36,71.2906,-156.7887,33.66,98,100,11.77
73,Manasa,IN,2022-08-16 17:12:37,24.4837,75.2687,73.53,97,100,18.43
74,Aykhal,RU,2022-08-16 17:12:37,66.0,111.5,47.52,98,100,10.56
75,Geraldton,AU,2022-08-16 17:12:38,-28.7667,114.6,57.61,88,75,16.11
76,Half Moon Bay,US,2022-08-16 17:12:39,37.4636,-122.4286,82.45,72,20,4.61
77,Luangwa,ZM,2022-08-16 17:12:39,-15.6167,30.4167,71.76,54,40,3.24
78,Poum,NC,2022-08-16 17:12:40,-20.2333,164.0167,71.96,90,95,8.03
79,Nikolayevsk-Na-Amure,RU,2022-08-16 17:12:40,53.1406,140.73,55.38,96,31,2.91
80,Jiaojiang,CN,2022-08-16 17:12:41,28.6803,121.4428,79.66,93,100,5.84
81,Cidreira,BR,2022-08-16 17:12:42,-30.1811,-50.2056,58.15,74,100,4.97
82,Saint Anthony,US,2022-08-16 17:12:42,45.0205,-93.218,79.14,65,40,9.22
83,Kibala,TD,2022-08-16 17:12:43,9.1104,18.3463,70.07,96,100,7.07
84,Bonavista,CA,2022-08-16 17:12:44,48.6499,-53.1147,60.62,81,100,8.14
85,Bilibino,RU,2022-08-16 17:12:44,68.0546,166.4372,41.68,85,100,4.52
86,Baykit,RU,2022-08-16 17:12:45,61.67,96.37,52.68,85,99,1.1
87,Hilo,US,2022-08-16 17:12:10,19.7297,-155.09,79.29,85,20,3.44
88,Basoko,CD,2022-08-16 17:12:46,1.2391,23.616,72.09,87,100,3.15
89,Ilulissat,GL,2022-08-16 17:12:46,69.2167,-51.1,46.42,81,75,4.61
90,Japura,ID,2022-08-16 17:12:46,-0.3167,102.35,75.38,96,69,2.15
91,Airai,TL,2022-08-16 17:12:47,-8.9266,125.4092,55.71,88,86,1.79
92,Qaqortoq,GL,2022-08-16 17:12:47,60.7167,-46.0333,42.31,99,100,11.07
