City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Payo,ID,73.35,broken clouds,-3.7508,103.6372,Mess keban agung
498,Mogadishu,SO,74.93,light rain,2.0371,45.3438,Hotel Juba
499,Lagos,NG,77.32,overcast clouds,6.5833,3.75,
502,Muret,FR,76.44,overcast clouds,43.3333,1.25,Logis Hôtel l'Arche de Noé
503,Pingzhuang,CN,66.16,clear sky,42.0372,119.2889,Haoke Guest House
504,Weihai,CN,67.91,moderate rain,37.5017,122.1136,Beihai Travel Resort
505,Nisia Floresta,BR,77.38,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
506,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
507,Tarakan,ID,80.17,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
509,Coahuayana,MX,85.23,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
510,Tecoanapa,MX,83.68,broken clouds,16.5167,-98.75,Hotel Manglares
511,Bani Walid,LY,73.44,clear sky,31.7566,13.9942,نيك بلاش
512,Tucuman,AR,71.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
513,Kailua,US,85.41,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
515,Beberibe,BR,77.47,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
517,Srandakan,ID,76.41,overcast clouds,-7.9386,110.2506,Puri Brata
518,Tecolutla,MX,89.46,broken clouds,20.4833,-97.0167,Hotel Plaza Marsol
519,Asau,RO,65.32,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
521,Viesca,MX,89.53,broken clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
522,Sao Jose Da Coroa Grande,BR,71.94,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
525,Metro,ID,75.11,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
526,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
528,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
530,Roma,US,71.74,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
531,Celestun,MX,83.43,scattered clouds,20.8667,-90.4,Posada Lilia
535,Randudongkal,ID,73.56,broken clouds,-7.0981,109.3243,M N D P
536,Bouillante,GP,79.83,clear sky,16.1304,-61.7692,Les Petites Fleurs de Poirier
